env_id,signal_label,n_runs,n_defined,mean,ci_low,ci_high,plateau_rate,retained_mean,retained_ci_low,retained_ci_high,n_retained,occupancy_mean,occupancy_max,n_occupancy,occupancy_last_mean,quantised_eval
MarsRover,RND,10,10,20138.0,19888.0,20388.0,1.0,1.0,1.0,1.0,10,,,0,,True
MarsRover,SVE grid b5,10,10,6238.0,6088.0,6388.0,1.0,1.0,1.0,1.0,10,0.0020000000000000005,0.002,10,0.0020020020020019994,True
MarsRover,SVE grid b10,10,6,32154.666666666668,20904.666666666668,43071.333333333336,0.6,1.0,1.0,1.0,6,0.0029999999999999996,0.003,6,0.0030030030030030004,True
MarsRover,SVE grid b20,10,8,26675.5,16613.0,36425.5,0.8,1.0,1.0,1.0,8,0.003,0.003,8,0.0030030030030030004,True
MarsRover,SVE kNN,10,10,9838.0,7288.0,12338.0,1.0,1.0,1.0,1.0,10,,,0,,True
MiniGrid-Empty-5x5-v0,RND,10,10,35248.8,33429.6,36977.6,1.0,0.6281798308857004,0.1445765225592141,1.035960379703511,10,,,0,,True
MiniGrid-Empty-5x5-v0,SVE grid b5,10,0,,,,0.0,,,,0,,,0,0.0004300430043004301,True
MiniGrid-Empty-5x5-v0,SVE grid b10,10,2,152020.0,104520.0,199520.0,0.2,1.1732897519318168,1.0,1.346579503863634,2,0.0010999999999999998,0.0013,2,0.0009400940094009399,True
MiniGrid-Empty-5x5-v0,SVE grid b20,10,2,152020.0,104520.0,199520.0,0.2,1.1732897519318168,1.0,1.346579503863634,2,0.0010999999999999998,0.0013,2,0.0009400940094009399,True
MiniGrid-Empty-5x5-v0,SVE kNN,10,0,,,,0.0,,,,0,,,0,,True
MiniGrid-DoorKey-5x5-v0,RND,10,0,,,,0.9,,,,0,,,0,,True
MiniGrid-DoorKey-5x5-v0,SVE grid b5,10,0,,,,0.0,,,,0,,,0,0.00114011401140114,True
MiniGrid-DoorKey-5x5-v0,SVE grid b10,10,0,,,,0.0,,,,0,,,0,0.00224022402240224,True
MiniGrid-DoorKey-5x5-v0,SVE grid b20,10,0,,,,0.0,,,,0,,,0,0.00256025602560256,True
MiniGrid-DoorKey-5x5-v0,SVE kNN,10,0,,,,0.0,,,,0,,,0,,True
MiniGrid-DoorKey-8x8-v0,RND,10,0,,,,0.3,,,,0,,,0,,True
MiniGrid-DoorKey-8x8-v0,SVE grid b5,10,0,,,,0.0,,,,0,,,0,0.00153015301530153,True
MiniGrid-DoorKey-8x8-v0,SVE grid b10,10,0,,,,0.0,,,,0,,,0,0.00453045304530453,True
MiniGrid-DoorKey-8x8-v0,SVE grid b20,10,0,,,,0.0,,,,0,,,0,0.008640864086408639,True
MiniGrid-DoorKey-8x8-v0,SVE kNN,10,0,,,,0.0,,,,0,,,0,,True
CartPole-v1,RND,10,10,26070.8,21299.6,33549.6,1.0,1.0,1.0,1.0,10,,,0,,False
CartPole-v1,SVE grid b5,10,2,71462.0,23164.0,119760.0,0.2,1.0,1.0,1.0,2,0.0018999999999999998,0.0026,2,0.00308061612322464,False
CartPole-v1,SVE grid b10,10,0,,,,0.0,,,,0,,,0,0.013002600520104,False
CartPole-v1,SVE grid b20,10,0,,,,0.0,,,,0,,,0,0.03358671734346864,False
CartPole-v1,SVE kNN,10,0,,,,0.0,,,,0,,,0,,False
LunarLander-v3,RND,10,3,-394490.6666666667,-811600.0,-10832.0,0.3,0.7199095108872022,0.4674959705836423,0.8932769156125344,3,,,0,,False
LunarLander-v3,SVE grid b5,10,0,,,,0.0,,,,0,,,0,0.015210760538026849,False
LunarLander-v3,SVE grid b10,10,0,,,,0.0,,,,0,,,0,0.05389769488474418,False
LunarLander-v3,SVE grid b20,10,0,,,,0.0,,,,0,,,0,0.16540327016350817,False
LunarLander-v3,SVE kNN,10,0,,,,0.0,,,,0,,,0,,False
