tag,signal_label,n_runs,t_conv_mean,t_conv_std,n_conv,t_plateau_mean,t_plateau_std,n_plateau,delta_mean
lr1e-3,RND,3,12970.666666666666,2364.8267026007074,3,40833.333333333336,5773.502691896258,3,27862.666666666668
lr1e-3,SVE grid b10,3,12970.666666666666,2364.8267026007074,3,,,0,
lr1e-3,SVE grid b20,3,12970.666666666666,2364.8267026007074,3,,,0,
lr1e-3,SVE grid b5,3,12970.666666666666,2364.8267026007074,3,,,0,
lr1e-3,SVE kNN,3,12970.666666666666,2364.8267026007074,3,,,0,
lr1e-4,RND,3,20480.0,0.0,3,53333.333333333336,10408.329997330664,3,32853.333333333336
lr1e-4,SVE grid b10,3,20480.0,0.0,3,,,0,
lr1e-4,SVE grid b20,3,20480.0,0.0,3,,,0,
lr1e-4,SVE grid b5,3,20480.0,0.0,3,,,0,
lr1e-4,SVE kNN,3,20480.0,0.0,3,,,0,
lr3e-4,RND,3,17066.666666666668,3128.371674423187,3,37500.0,0.0,3,20433.333333333332
lr3e-4,SVE grid b10,3,17066.666666666668,3128.371674423187,3,,,0,
lr3e-4,SVE grid b20,3,17066.666666666668,3128.371674423187,3,,,0,
lr3e-4,SVE grid b5,3,17066.666666666668,3128.371674423187,3,,,0,
lr3e-4,SVE kNN,3,17066.666666666668,3128.371674423187,3,,,0,
lr3e-5,RND,3,21162.666666666668,6583.398919504523,3,61666.666666666664,6291.528696058957,3,40504.0
lr3e-5,SVE grid b10,3,21162.666666666668,6583.398919504523,3,,,0,
lr3e-5,SVE grid b20,3,21162.666666666668,6583.398919504523,3,,,0,
lr3e-5,SVE grid b5,3,21162.666666666668,6583.398919504523,3,,,0,
lr3e-5,SVE kNN,3,21162.666666666668,6583.398919504523,3,,,0,
