env,method,mean,lower,upper,n
MarsRover,rnd,14115.777777777777,13856.518518518518,14373.23148148148,270
MarsRover,sve_grid_b5,6538.0,6341.657407407407,6730.592592592592,270
MarsRover,sve_grid_b10,21200.5,19312.947916666668,23081.802083333332,240
MarsRover,sve_grid_b20,19452.285714285714,17706.25396825397,21317.414682539682,252
MarsRover,sve_knn,8009.739130434783,7492.830917874396,8500.13768115942,207
MiniGrid-Empty-5x5-v0,rnd,38012.9568627451,33860.9568627451,42485.530980392155,255
MiniGrid-Empty-5x5-v0,sve_grid_b5,76131.65714285715,68739.45333333334,83444.78095238096,105
MiniGrid-Empty-5x5-v0,sve_grid_b10,93634.8717948718,81487.33076923077,106196.58461538459,78
MiniGrid-Empty-5x5-v0,sve_grid_b20,93465.71428571429,82319.71904761904,105552.50952380952,84
MiniGrid-Empty-5x5-v0,sve_knn,109280.0,103591.11111111111,114968.88888888889,9
CartPole-v1,rnd,22028.72156862745,20473.586274509802,23687.61333333333,255
CartPole-v1,sve_grid_b5,80372.66666666667,71109.97435897436,89278.18589743589,78
CartPole-v1,sve_grid_b10,89403.2,81266.41555555556,96913.61333333333,45
CartPole-v1,sve_grid_b20,81668.19047619047,67689.8119047619,95602.74523809523,42
CartPole-v1,sve_knn,116875.55555555556,112176.63333333333,122190.55555555555,18
LunarLander-v3,rnd,328143.5402298851,291009.4873563219,366469.01609195396,174
LunarLander-v3,sve_grid_b5,226155.63636363635,185593.35757575757,271590.55757575744,33
LunarLander-v3,sve_grid_b10,221618.05128205128,168182.22564102564,277932.23589743586,39
LunarLander-v3,sve_grid_b20,243135.33333333334,186715.98333333334,305480.81666666653,24
LunarLander-v3,sve_knn,176971.15151515152,128530.5090909091,233969.4303030303,33
