signal_label,tau,smooth_window,reference_quantile,n_pairs,n_runs,t_conv_range,t_plateau_range,spearman,p_value,slope
RND,0.1,1,0.5,6,12,10240.0,22500.0,0.3178208630818641,0.5393202641187119,1.006857322080292
RND,0.1,1,1.0,12,12,18432.0,7500.0,-0.4434632910146023,0.1487396574854968,-0.14145486856223147
RND,0.1,5,0.5,12,12,18432.0,30000.0,0.4953659797306823,0.10150764791094327,1.2992891630901278
RND,0.1,5,1.0,12,12,18432.0,5000.0,0.1351505925137828,0.6753709857716979,0.05762976126609439
RND,0.1,9,0.5,12,12,18432.0,15000.0,0.711721493456117,0.009428104891256171,0.8277729345493561
RND,0.1,9,1.0,12,12,18432.0,5000.0,0.3221145962050385,0.3072167149937408,0.12049859173819756
RND,0.2,1,0.5,11,12,10240.0,117500.0,0.4891921331025581,0.12673313538072578,2.866683467741935
RND,0.2,1,1.0,12,12,18432.0,10000.0,0.2228714538243448,0.4862661921732909,0.12049859173819769
RND,0.2,5,0.5,12,12,18432.0,10000.0,0.06351841102118716,0.8445230009459992,-3.4098414126989804e-16
RND,0.2,5,1.0,12,12,18432.0,2500.0,0.15782189036217623,0.6242230125522799,0.06286883047210272
RND,0.2,9,0.5,12,12,18432.0,7500.0,0.11982731225525427,0.710685571922093,0.05762976126609416
RND,0.2,9,1.0,12,12,18432.0,2500.0,0.3682510775117446,0.2388751963692945,0.10478138412017109
RND,0.3,1,0.5,12,12,18432.0,25000.0,0.3431244645123708,0.27487043357431035,0.40340832886266076
RND,0.3,1,1.0,12,12,18432.0,2500.0,0.37198976298258213,0.23377150415898398,0.11525952253218862
RND,0.3,5,0.5,12,12,18432.0,10000.0,-0.14142597430370543,0.6610757059872311,-0.05762976126609496
RND,0.3,5,1.0,12,12,18432.0,2500.0,0.03327177587852354,0.9182409744383536,0.01047813841201712
RND,0.3,9,0.5,12,12,18432.0,5000.0,0.38426940631510903,0.217469305859116,0.1362157993562228
RND,0.3,9,1.0,12,12,18432.0,2500.0,0.5988919658134237,0.03962226528169502,0.11525952253218855
SVE grid b10,0.1,1,0.5,0,12,,,,,
SVE grid b10,0.1,1,1.0,5,12,14336.0,120000.0,0.09999999999999999,0.8728885715695384,-0.40132705479452063
SVE grid b10,0.1,5,0.5,0,12,,,,,
SVE grid b10,0.1,5,1.0,12,12,18432.0,97500.0,-0.2873573599474177,0.36512771052932647,-2.9443568937768236
SVE grid b10,0.1,9,0.5,0,12,,,,,
SVE grid b10,0.1,9,1.0,11,12,18432.0,97500.0,-0.09071337522575382,0.790815387777668,-0.6221268338022578
SVE grid b10,0.2,1,0.5,0,12,,,,,
SVE grid b10,0.2,1,1.0,11,12,18432.0,85000.0,-0.4362900268231966,0.17974671144684415,-2.223563730908357
SVE grid b10,0.2,5,0.5,4,12,12288.0,87500.0,-0.7999999999999999,0.2000000000000001,-5.279908697289154
SVE grid b10,0.2,5,1.0,12,12,18432.0,40000.0,-0.046859703557247404,0.8850181593303734,0.42436460568669454
SVE grid b10,0.2,9,0.5,5,12,10240.0,87500.0,0.13157894736842107,0.8329531569240444,-0.20345052083333576
SVE grid b10,0.2,9,1.0,12,12,18432.0,112500.0,0.4641759499240151,0.12847373328761744,1.6083942462446346
SVE grid b10,0.3,1,0.5,0,12,,,,,
SVE grid b10,0.3,1,1.0,12,12,18432.0,105000.0,0.13745938515738734,0.6700998267903111,-0.5710585434549376
SVE grid b10,0.3,5,0.5,5,12,12288.0,87500.0,-0.8207826816681234,0.08858700531354378,-5.141038161057696
SVE grid b10,0.3,5,1.0,12,12,18432.0,30000.0,0.6265007798498043,0.029270246333813216,1.2416594018240337
SVE grid b10,0.3,9,0.5,8,12,18432.0,87500.0,0.024098134635593998,0.9548334873494593,-0.06868406329923173
